num_cpus,num_gpus,num_fpgas,time,time_ddm
1,1,1,2.311318,0.069150665
1,1,2,2.411191,0.129136993
1,1,4,4.413588,0.332839655
1,1,8,25.831611,4.454636005
1,2,1,3.111515,0.129557684
1,2,2,2.612164,0.220872341
1,2,4,4.915086,0.491338809
1,2,8,18.326969,4.207267792
1,4,1,8.316028,0.339417234
1,4,2,6.415617,0.492728032
1,4,4,8.218316,1.798173455
1,4,8,14.221401,4.069594460
1,8,1,28.734791,3.365460240
1,8,2,18.726984,4.171382720
1,8,4,14.523639,4.160933210
1,8,8,300.143360,
2,1,1,2.512810,0.129858973
2,1,2,2.610907,0.218167009
2,1,4,5.414425,0.484802325
2,1,8,10.619452,2.684304942
2,2,1,3.212336,0.214418980
2,2,2,3.312816,0.342500670
2,2,4,11.519378,1.991369538
2,2,8,15.424398,3.475825957
2,4,1,5.914613,0.492219259
2,4,2,10.319602,1.331609897
2,4,4,7.716764,1.129991182
2,4,8,33.741137,13.710769058
2,8,1,22.629673,3.962189639
2,8,2,15.524534,3.443561697
2,8,4,22.231142,7.336610639
2,8,8,300.155094,
4,1,1,3.812662,0.341192591
4,1,2,5.714771,0.487362562
4,1,4,16.824726,2.489742856
4,1,8,11.720341,4.060617292
4,2,1,4.815192,0.492988216
4,2,2,7.817338,1.332382478
4,2,4,11.820063,2.262614563
4,2,8,20.928929,7.206157833
4,4,1,17.323167,2.645432607
4,4,2,12.220251,2.275429802
4,4,4,12.321101,3.505357944
4,4,8,253.031246,121.042520722
4,8,1,26.833975,7.319100719
4,8,2,37.137594,11.075426011
4,8,4,187.872357,85.480553380
4,8,8,300.130640,
8,1,1,10.418277,2.224216622
8,1,2,18.526721,3.987495781
8,1,4,11.420313,4.100602693
8,1,8,300.112389,
8,2,1,14.521406,3.273016959
8,2,2,18.826119,5.085312613
8,2,4,14.525816,4.835513583
8,2,8,300.133958,
8,4,1,30.136617,7.634926205
8,4,2,89.992993,28.859611864
8,4,4,10.319241,3.170957250
8,4,8,300.131006,
8,8,1,300.112066,
8,8,2,300.142876,
8,8,4,300.159233,
8,8,8,300.132165,
